code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,parti_en_tete,turnout_pct,blancs_pct,nuls_pct,LFI_pct,RE_pct,LR_pct,RN_pct,EELV_pct
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,PS,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,LR,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,FG,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,MoDem,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,RN,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,EELV,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,DLF,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,NPA,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,LO,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2012,1,2012-04-22,SP,,0.0,1.36,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,LREM,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,FG,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,LR,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,PS,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,RN,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,DLF,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,NPA,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,UPR,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,Résistons,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,LO,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,SP,,1.28,0.4,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,FG,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,LREM,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,EELV,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,RN,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,Reconquête,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,LR,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,PS,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,PCF,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,Résistons,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,DLF,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,NPA,,1.21,0.37,,,,,
44109,Nantes,244400404,presidentielle,2022,1,2022-04-10,LO,,1.21,0.37,,,,,
